amfi_code,alpha,beta
100016,0.026793357663757345,-0.05818987281045089
100025,0.030612705258034403,0.0012479753428323891
100033,0.194433397420933,0.005673608206916305
101206,0.15299792682929517,0.02153490904779664
101207,0.07790884286345338,-0.06506081769163252
101208,0.043512946456281267,0.0003942904603912689
102885,0.12189021867444702,-0.019129401276909166
102886,0.020711693418567753,-0.04206430194743238
102887,0.11590250587754225,0.01702251776385279
118632,0.15606944921588917,-0.007896233567914352
118633,0.11184572614983168,-0.036311072946952315
118634,0.1251215450251417,0.10386349563554714
118635,0.10821748466953027,-0.0011162256903505918
118636,0.03628212882750764,0.0013630541569451574
119092,0.049328241842642895,0.00987537633355698
119093,0.05886047655844435,0.026055792463879526
119094,0.18643534734634085,-0.06571879668482343
119095,0.03432904320388378,-0.06685052123926713
119120,0.0401866338409531,-0.0062960227623870164
119551,0.16587578020416932,-0.03126509023305537
119552,0.14205070489932317,-0.025742812176340054
119598,0.21689436875528267,-0.022560123677476035
119599,0.03490691096619437,0.062104152101838894
120503,0.12656989723735426,-0.039897847051735505
120504,0.15153257972033438,0.01667646613381516
120505,0.2092202155179981,0.0011624418556574609
120506,0.11620704978340046,0.04223718398265878
120507,0.048232083530463196,-0.00030267525734536694
120841,0.09325048927512082,0.03662981120976863
120842,0.055797896129028995,0.018220474688512112
120843,0.19539937125073042,-0.022256655162610224
120844,0.04615491620160679,-0.000265417157509882
125497,0.1267590200318073,0.049192064089251086
125498,0.08571617015495582,0.009305734044010203
148567,0.19292053971078638,0.024249204724990293
148568,0.149231747113787,-0.02595016965590058
148569,0.20211921369271596,0.018726501418041587
149322,0.09418182544418333,-0.003774128247281723
149323,0.19016673593348932,-0.0019654322200013544
149324,0.21489903254510972,0.012085247963825893
